"Reference","Value","Footprint","Datasheet","Allied_Number","Arrow Part Number","Arrow Price/Stock","Description","Digikey Part Number","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","RS Part Number","RS Price/Stock","Tolerance","URL","Voltage","Qty"
"A1","Pololu_Breakout_DRV8825","Module:Pololu_Breakout-16_15.2x20.3mm","https://www.pololu.com/product/2982","","","","","","","","","","","","","","","","1"
"BT1","Battery_Cell","Battery:BatteryHolder_Keystone_500","~","","","","","36-500-ND","","Keystone","500","","","","","","https://www.digikey.com.au/en/products/detail/keystone-electronics/500/151580","","1"
"C1-C3, C9, C12-C14, C21, C22, C26, C32, C34, C38","0.1uF","Capacitor_SMD:C_0805_2012Metric","~","","","","","311-1140-1-ND","","Yageo","CC0805KRX7R9BB104","","","","","","https://www.digikey.com.au/product-detail/en/yageo/CC0805KRX7R9BB104/311-1140-1-ND/303050","","13"
"C4, C7, C20, C29, C30","0.01uF","Capacitor_SMD:C_0805_2012Metric","~","","","","","311-1136-1-ND","","Yageo","CC0805KRX7R9BB103","","","","","","https://www.digikey.com/product-detail/en/yageo/CC0805KRX7R9BB103/311-1136-1-ND/303046","","5"
"C5, C16","4700pF","Capacitor_SMD:C_0805_2012Metric","~","","","","","311-1133-1-ND","","Yageo","CC0805KRX7R9BB472","","","","","","https://www.digikey.com/product-detail/en/yageo/CC0805KRX7R9BB103/311-1136-1-ND/303046","","2"
"C6, C8","1nF","Capacitor_SMD:C_0805_2012Metric","~","","","","","399-16591-1-ND","","Kemet","C0805C102J5HACAUTO","","","","","","https://www.digikey.com/product-detail/en/kemet/C0805C102J5HACAUTO/399-16591-1-ND/7943643","","2"
"C10, C11, C23","1uF","Capacitor_SMD:C_0805_2012Metric","~","","","","","311-1365-1-ND","","Yageo","CC0805KKX7R7BB105","","","","","","https://www.digikey.com/product-detail/en/yageo/CC0805KKX7R7BB105/311-1365-1-ND/2103149","","3"
"C15, C19","270nF","Capacitor_SMD:C_0805_2012Metric","~","","","","","311-4268-1-ND","","Yageo","CC0805JRX7R7BB274","","","","","","https://www.digikey.com.au/product-detail/en/yageo/CC0805JRX7R7BB274/311-4268-1-ND/8025357","","2"
"C17, C18, C24, C25, C28","0.22uF","Capacitor_SMD:C_0805_2012Metric","~","","","","","1276-1284-1-ND","","Samsung","CL21B224KOCNNNC","","","","","","https://www.digikey.com/product-detail/en/samsung-electro-mechanics-america-inc/CL21B224KOCNNNC/1276-1284-1-ND/3889370","","5"
"C27","100uF","Capacitor_SMD:C_1206_3216Metric","~","","","","","1276-1782-1-ND","","Samsung","CL31A107MQHNNNE","","","","","","https://www.digikey.com.au/product-detail/en/samsung-electro-mechanics/CL31A107MQHNNNE/1276-1782-1-ND/3889868","","1"
"C31","100uF","Capacitor_SMD:CP_Elec_6.3x7.7","~","","","","","P124821CT-ND","","Panasonic","EEE-FT1V101AV","","","","","","https://www.digikey.com.au/product-detail/en/panasonic-electronic-components/EEE-FT1V101AV/P124821CT-ND/10290763","","1"
"C33, C35","47uF","Capacitor_Tantalum_SMD:CP_EIA-3528-21_Kemet-B","~","","","","","478-1692-1-ND","","AVX","TAJB476K006RNJ","","","","","","https://www.digikey.com/product-detail/en/avx-corporation/TAJB476K006RNJ/478-1692-1-ND/564724","10V","2"
"C36, C37","33uF","Capacitor_SMD:CP_Elec_6.3x7.7","~","","","","","PCE3925CT-ND","","Panasonic","EEE-1HA330XP","","","","","","https://www.digikey.com.au/product-detail/en/panasonic-electronic-components/EEE-1HA330XP/PCE3925CT-ND/766301","50V","2"
"C39","0.33uF","Capacitor_SMD:C_0805_2012Metric","~","","","","","445-5684-1-ND","","TDK","CGA4J2X7R1H334K125AA","","","","","","https://www.digikey.com.au/en/products/detail/tdk-corporation/CGA4J2X7R1H334K125AA/2443162","","1"
"D1, D32","D_Schottky","Diode_SMD:D_PowerDI-123","~","","","","","DFLS2100-7DICT-ND","","Diodes Inc.","DFLS2100-7","","","","","","https://www.digikey.com/product-detail/en/diodes-incorporated/DFLS2100-7/DFLS2100-7DICT-ND/3451552","","2"
"D2-D9, D18-D25, D31, D36, D41-D43","LED","LED_SMD:LED_0805_2012Metric","~","","","","","-- mixed values --","","-- mixed values --","-- mixed values --","","","","","","-- mixed values --","","21"
"D10-D17, D28, D29, D33-D35, D37, D38","D","Diode_SMD:D_SOD-323","~","","","","","1N4448WXTPMSCT-ND","","MCC","1N4448WX-TP","","","","","","https://www.digikey.com/product-detail/en/micro-commercial-co/1N4448WX-TP/1N4448WXTPMSCT-ND/789338","","15"
"D26, D27","D_TVS","Diode_SMD:D_SOD-523","~","","","","","D1213A-01T-7DITR-ND","","Diodes Inc","D1213A-01T-7","","","","","","https://www.digikey.com.au/en/products/detail/diodes-incorporated/D1213A-01T-7/3340396","","2"
