Comment,Designator,Footprint,LCSC,Quantity
0.01uF,"C1,C15",C_0805_2012Metric,C1710,2
0.1uF,"C10,C11,C16,C18,C20,C24,C3,C4,C9",C_0805_2012Metric,C49678,9
0.22uF,"C12,C13,C14,C6,C7",C_0805_2012Metric,C5378,5
100k,"R1,R15,R3,R4,R49,R50,R60,R61",R_0805_2012Metric,C149504,8
10R,"R13,R14",R_1206_3216Metric,C17903,2
10k,R45,R_0805_2012Metric,C17414,1
10uF,C17,CP_EIA-7343-31_Kemet-D,C347556,1
120R,R46,R_0805_2012Metric,C17437,1
1k,"R17,R29,R47,R48,R5,R56,R57,R7,R8",R_0805_2012Metric,C17513,9
1uF,"C2,C25",C_0805_2012Metric,C28323,2
2.49k,"R35,R36",R_0805_2012Metric,C21237,2
2.4k,"R11,R12,R23,R9",R_0805_2012Metric,C17526,4
22uF,C19,C_0805_2012Metric,C45783,1
3.9k,R30,R_0805_2012Metric,C17614,1
470R,"R31,R32,R34,R38,R39,R40,R55",R_0805_2012Metric,C17710,7
470pf,"C29,C8",C_0805_2012Metric,C1743,2
47uF,C21,CP_EIA-3528-21_Kemet-B,C2158185,1
B130-13-F,D14,D_SMA,C2480,1
D,"D11,D5",D_SOD-323,C2128,2
D,"D16,D17,D18,D19",D_SOD-123F,C64898,4
D_TVS,D15,D_SMB,C2898533,1
D_Zener,D20,D_SOD-323,C12744,1
IXDN602,U2,SOIC-8_3.9x4.9mm_P1.27mm,C431679,1
LED,"D1,D2,D3,D7",LED_0805_2012Metric,C84256,4
LM2940S-5.0/NOPB,U8,TO-263-3_TabPin2,C133956,1
Polyfuse,F1,Fuse_1812_4532Metric,C20810,1
SP720,U6,SOIC-16_3.9x9.9mm_P1.27mm,C434726,1
SSM3K357R,Q2,SOT-23,C7369997,1
VNLD5090,"U1,U3,U7,U9",SOIC-8_3.9x4.9mm_P1.27mm,C222209,4
Pololu_Breakout_DRV8825,A1,Pololu_Breakout-16_15.2x20.3mm,,1
Arduino_Mega2560_Shield,XA1,Uno Shield,,1
MPX4250,U5,MPX5700ASX,,1
