Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
A1,Pololu_Breakout_DRV8825,Pololu_Breakout-16_15.2x20.3mm,134.25,-132.09,90.0,top
C1,0.01uF,C_0805_2012Metric,166.75,-56.8,0.0,top
C10,0.1uF,C_0805_2012Metric,145.825,-81.45,0.0,top
C11,0.1uF,C_0805_2012Metric,139.55,-71.325,0.0,top
C12,0.22uF,C_0805_2012Metric,135.8,-78.1,-90.0,top
C13,0.22uF,C_0805_2012Metric,146.125,-70.475,0.0,top
C14,0.22uF,C_0805_2012Metric,135.925,-71.3,0.0,top
C15,0.01uF,C_0805_2012Metric,106.1,-119.425,0.0,top
C16,0.1uF,C_0805_2012Metric,110.625,-119.45,180.0,top
C17,10uF,CP_EIA-7343-31_Kemet-D,70.2,-128.5,270.0,top
C18,0.1uF,C_0805_2012Metric,73.7,-132.75,-90.0,top
C19,22uF,C_0805_2012Metric,136.154,-59.6505,90.0,top
C2,1uF,C_0805_2012Metric,166.775,-53.375,0.0,top
C20,0.1uF,C_0805_2012Metric,60.05,-138.835,90.0,top
C21,47uF,CP_EIA-3528-21_Kemet-B,63.45,-138.335,270.0,top
C24,0.1uF,C_0805_2012Metric,143.73,-49.68,-90.0,top
C25,1uF,C_0805_2012Metric,140.3,-49.65,-90.0,top
C29,470pf,C_0805_2012Metric,161.03,-73.8,0.0,top
C3,0.1uF,C_0805_2012Metric,111.025,-74.825,-90.0,top
C4,0.1uF,C_0805_2012Metric,130.2625,-60.375,0.0,top
C6,0.22uF,C_0805_2012Metric,113.675,-70.3,180.0,top
C7,0.22uF,C_0805_2012Metric,126.45,-71.825,180.0,top
C8,470pf,C_0805_2012Metric,166.36,-67.33,0.0,top
C9,0.1uF,C_0805_2012Metric,130.4,-78.05,90.0,top
D1,LED,LED_0805_2012Metric,72.6625,-90.375,0.0,top
D11,D,D_SOD-323,72.7875,-52.7,0.0,top
D14,B130-13-F,D_SMA,64.6,-129.7,90.0,top
D15,D_TVS,D_SMB,77.0,-129.4,90.0,top
D16,D,D_SOD-123F,165.9825,-142.84,0.0,top
D17,D,D_SOD-123F,168.87,-119.43,0.0,top
D18,D,D_SOD-123F,166.57,-128.63,0.0,top
D19,D,D_SOD-123F,166.7225,-132.17,0.0,top
D2,LED,LED_0805_2012Metric,72.5325,-79.025,0.0,top
D20,D_Zener,D_SOD-323,130.675,-71.675,0.0,top
D3,LED,LED_0805_2012Metric,77.1,-70.35,0.0,top
D5,D,D_SOD-323,73.4,-70.35,0.0,top
D7,LED,LED_0805_2012Metric,76.6875,-52.7,0.0,top
F1,Polyfuse,Fuse_1812_4532Metric,100.05,-109.45,-90.0,top
Q2,SSM3K357R,SOT-23,86.53,-75.7,90.0,top
R1,100k,R_0805_2012Metric,81.2375,-71.75,180.0,top
R11,2.4k,R_0805_2012Metric,76.8625,-90.405,180.0,top
